Symbol,Date,Time,Bid_Price,Ask_Price,Bid_Size,Ask_Size
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,63,93
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,66,93
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,66,88
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,66,86
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,66,83
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,67,83
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,67,80
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,67,79
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,67,78
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,59,78
ESU13,09/01/2013,17:55:44.176,1641.5,1641.75,59,76
ESU13,09/01/2013,17:55:44.796,1641.5,1641.75,59,77
ESU13,09/01/2013,17:55:44.796,1641.5,1641.75,59,79
ESU13,09/01/2013,17:55:44.796,1641.5,1641.75,59,81
ESU13,09/01/2013,17:55:44.838,1641.5,1641.75,56,81
ESU13,09/01/2013,17:55:46.419,1641.5,1641.75,56,80
ESU13,09/01/2013,17:55:46.419,1641.5,1641.75,56,78
ESU13,09/01/2013,17:55:46.419,1641.5,1641.75,56,76
ESU13,09/01/2013,17:55:46.791,1641.5,1641.75,58,76
ESU13,09/01/2013,17:55:46.809,1641.5,1641.75,58,75
ESU13,09/01/2013,17:55:49.313,1641.5,1641.75,57,75
ESU13,09/01/2013,17:55:58.369,1641.5,1641.75,57,76
ESU13,09/01/2013,17:56:00.658,1641.5,1641.75,61,76
ESU13,09/01/2013,17:56:02.460,1641.5,1641.75,57,76
ESU13,09/01/2013,17:56:08.183,1641.5,1641.75,87,76
ESU13,09/01/2013,17:56:12.098,1641.5,1641.75,88,76
ESU13,09/01/2013,17:56:12.098,1641.5,1641.75,90,76
ESU13,09/01/2013,17:56:14.225,1641.5,1641.75,88,76
ESU13,09/01/2013,17:56:14.869,1641.5,1641.75,58,76
ESU13,09/01/2013,17:56:14.869,1641.5,1641.75,58,46
ESU13,09/01/2013,17:56:14.869,1641.5,1641.75,58,48
ESU13,09/01/2013,17:56:14.869,1641.5,1641.75,58,47
ESU13,09/01/2013,17:56:14.897,1641.5,1641.75,58,45
ESU13,09/01/2013,17:56:14.917,1641.5,1641.75,58,48
ESU13,09/01/2013,17:56:14.928,1641.5,1641.75,58,46
ESU13,09/01/2013,17:56:14.951,1641.5,1641.75,58,48
ESU13,09/01/2013,17:56:15.193,1641.5,1641.75,59,48
ESU13,09/01/2013,17:56:15.800,1641.5,1641.75,59,47
ESU13,09/01/2013,17:56:16.645,1641.5,1641.75,58,47
ESU13,09/01/2013,17:56:16.832,1641.5,1641.75,58,52
ESU13,09/01/2013,17:56:16.837,1641.5,1641.75,58,55
ESU13,09/01/2013,17:56:25.081,1641.5,1641.75,72,55
ESU13,09/01/2013,17:56:28.875,1641.5,1641.75,72,45
ESU13,09/01/2013,17:56:30.784,1641.5,1641.75,72,46
ESU13,09/01/2013,17:56:32.457,1641.5,1641.75,71,46
ESU13,09/01/2013,17:56:32.488,1641.5,1641.75,70,46
ESU13,09/01/2013,17:56:37.081,1641.5,1641.75,70,56
ESU13,09/01/2013,17:56:39.733,1641.5,1641.75,70,48
ESU13,09/01/2013,17:56:39.733,1641.5,1641.75,70,45
ESU13,09/01/2013,17:56:39.733,1641.5,1641.75,70,44
ESU13,09/01/2013,17:56:39.733,1641.5,1641.75,70,42
ESU13,09/01/2013,17:56:41.652,1641.5,1641.75,70,37
ESU13,09/01/2013,17:56:55.036,1641.5,1641.75,33,37
ESU13,09/01/2013,17:56:55.036,1641.5,1642,33,118
ESU13,09/01/2013,17:56:55.036,1641.5,1642,33,118
ESU13,09/01/2013,17:56:55.047,1641.75,1642,4,118
ESU13,09/01/2013,17:56:55.047,1641.75,1642,4,113
ESU13,09/01/2013,17:56:55.047,1641.75,1642,4,106
ESU13,09/01/2013,17:56:55.047,1641.75,1642,4,105
ESU13,09/01/2013,17:56:55.052,1641.5,1642,41,105
ESU13,09/01/2013,17:56:55.052,1641.5,1642,41,105
ESU13,09/01/2013,17:56:55.052,1641.5,1642,41,102
ESU13,09/01/2013,17:56:55.052,1641.5,1642,41,97
ESU13,09/01/2013,17:56:55.052,1641.5,1642,44,97
ESU13,09/01/2013,17:56:55.052,1641.5,1642,47,97
ESU13,09/01/2013,17:56:55.052,1641.5,1642,51,97
ESU13,09/01/2013,17:56:55.052,1641.75,1642,2,97
ESU13,09/01/2013,17:56:55.052,1641.75,1642,3,97
ESU13,09/01/2013,17:56:55.052,1641.75,1642,4,97
ESU13,09/01/2013,17:56:55.052,1641.75,1642,7,97
ESU13,09/01/2013,17:56:55.052,1641.75,1642,3,97
ESU13,09/01/2013,17:56:55.052,1641.75,1642,3,95
ESU13,09/01/2013,17:56:55.052,1641.75,1642,3,100
ESU13,09/01/2013,17:56:55.052,1641.75,1642,3,105
ESU13,09/01/2013,17:56:55.052,1641.5,1642,37,105
ESU13,09/01/2013,17:56:55.052,1641.5,1642,37,105
ESU13,09/01/2013,17:56:55.052,1641.75,1642,1,105
ESU13,09/01/2013,17:56:55.052,1641.75,1642,2,105
ESU13,09/01/2013,17:56:55.125,1641.75,1642,2,100
ESU13,09/01/2013,17:56:55.125,1641.75,1642,2,95
ESU13,09/01/2013,17:56:55.635,1641.75,1642,7,95
ESU13,09/01/2013,17:56:57.902,1641.75,1642,8,95
ESU13,09/01/2013,17:56:58.828,1641.75,1642,6,95
ESU13,09/01/2013,17:57:04.543,1641.5,1642,48,95
ESU13,09/01/2013,17:57:04.543,1641.5,1642,48,95
